Temps (s),Tension (V),Courant (A),Watt (W)
651,5.15394,1.01432,5.227744420800001
652,5.15406,1.01147,5.213177068200001
653,5.15512,1.00535,5.182699892
654,5.15501,1.00070,5.158618507
655,5.15331,1.01580,5.234732298000001
656,5.15262,1.02330,5.272676046
657,5.15469,1.00740,5.192834706000001
658,5.15469,1.01025,5.207525572500001
659,5.15312,1.02600,5.287101120000001
660,5.15188,1.02650,5.28840482
661,5.15262,1.01925,5.2518079349999995
662,5.15263,1.02595,5.2863407485
663,5.15250,1.02270,5.26946175
664,5.15412,1.00917,5.201383280399999
665,5.1544,1.0123,5.21779912
666,5.15437,1.01215,5.2169955955
667,5.15400,1.01128,5.2121371199999995
668,5.15362,1.01602,5.2361809924
669,5.15437,1.01050,5.208490885
670,5.15425,1.00997,5.2056378725000005
671,5.1541,1.0112,5.21182592
672,5.16350,0.90350,4.66522225
673,5.18150,0.70992,3.67845048
674,5.19544,0.55760,2.8969773439999997
675,5.20494,0.45325,2.359139055
676,5.21012,0.39585,2.062426002
677,5.21263,0.37600,1.95994888
678,5.21375,0.3645,1.900411875
679,5.21375,0.36575,1.9069290625000002
680,5.21375,0.36478,1.901871725
681,5.21375,0.36437,1.8997340875000002
682,5.21375,0.36390,1.897283625
683,5.21375,0.36343,1.8948331625
684,5.21375,0.36298,1.8924869750000002
685,5.21375,0.36245,1.8897236875
686,5.21375,0.36210,1.8878988749999999
687,5.21375,0.36200,1.8873775
688,5.21375,0.36177,1.8861783374999999
689,5.21375,0.36112,1.8827894
690,5.21375,0.36110,1.8826851249999998
691,5.21375,0.36110,1.8826851249999998
692,5.21375,0.36045,1.8792961875
693,5.21375,0.36000,1.87695
